
A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer(https://clinicaltrials.gov/show/NCT00090545)
 ,First Stage - Disease Progression,Second Stage - Increased Accrual
 ,The first stage was to rule out the probability of 4 month progression free survival. Patients were given 400 mg BAY 43-9006 orally twice daily in 28 day cycles.,Due to prostatic specific antigen and radiographic discordance during the first stage the protocol was amended to allow accrual to a second stage. 400 mg BAY 43-9006 orally twice daily in 28 day cycles.
Total all-cause mortality,0/22 %0.0,1/24 %4.17
Total serious adverse events,2/22 %9.09,6/24 %25.0
Constipation,0/22 %0.0,1/24 %4.17
Dehydration,0/22 %0.0,1/24 %4.17
Death not associated with CTCAE term::Death NOS,0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Bladder (urinary),0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Lung (pneumonia),0/22 %0.0,1/24 %4.17
Hemoglobin,0/22 %0.0,2/24 %8.33
Pain::Back,0/22 %0.0,1/24 %4.17
Pain::Bone,0/22 %0.0,1/24 %4.17
Pain::Joint,0/22 %0.0,1/24 %4.17
Pain::Muscle,0/22 %0.0,1/24 %4.17
CNS cerebrovascular ischemia,0/22 %0.0,1/24 %4.17
Pain::Head/headache,0/22 %0.0,1/24 %4.17
Hypertension,1/22 %4.55,0/24 %0.0
Hypotension,1/22 %4.55,0/24 %0.0

BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer(https://clinicaltrials.gov/show/NCT00098254)
 ,BAY 43-9006 (Sorafenib)
Lung infection,1/11 %9.09
Aspartate aminotransferase increased,1/11 %9.09
Neoplasms benign malignant and unspecified (incl cysts and polyps) - Other specify,1/11 %9.09
Encephalopathy,1/11 %9.09

Sorafenib Plus Capecitabine (SorCape) in Previously Treated Metastatic Colorectal Cancer(https://clinicaltrials.gov/show/NCT01471353)
 ,Sorafenib Plus Capecitabine (SorCape)
 ,Sorafenib 200-400 mg PO twice daily on days 1-21 (dose escalation schema) plus Capecitabine 1000 mg/m2 PO twice daily on days 1-14 repeated every 21 days. Single arm study. Sorafenib Plus Capecitabine (SorCape): Sorafenib 200-400 mg PO twice daily on days 1-21 (dose escalation schema) plus Capecitabine 1000 mg/m2 PO twice daily on days 1-14 repeated every 21 days
Total serious adverse events,13/42 %30.95
Anemia,1/42 %2.38
Spleen Disorder,1/42 %2.38
Sinus Tachycardia,1/42 %2.38
Abdominal Pain,2/42 %4.76
Colonic Obstruction,1/42 %2.38
Gastrointestinal Disorders - Other Bowel Perforation,1/42 %2.38
Fatigue,1/42 %2.38
General Disorders and Administration Site Conditions - Other Anasarca,1/42 %2.38
Non-Cardiac Chest Pain,2/42 %4.76
Pain,1/42 %2.38
Hepatobiliary Disorders - Other Cirrhosis,1/42 %2.38
Sepsis,1/42 %2.38
Creatinine Increased,1/42 %2.38
Hyponatremia,1/42 %2.38
Dehydration,2/42 %4.76
Generalized Muscle Weakness,1/42 %2.38
Syncope,1/42 %2.38
Agitation,1/42 %2.38
Confusion,1/42 %2.38
Delirium,2/42 %4.76
Pneumothorax,1/42 %2.38

MEDI-573 in Combination With SOC in Unresectable or Metastatic HCC.(https://clinicaltrials.gov/show/NCT01498952)
 ,Phase 1b Cohort A,Phase 1b Cohort B
 ,Participants received MEDI-573 10 mg/kg IV on Day 1 of each 21-day cycle and sorafenib 400 mg orally twice daily as background therapy until unacceptable toxicity documentation of disease progression initiation of alternative anticancer treatment or withdrawal for other reasons.,Participants received MEDI-573 45 mg/kg IV on Day 1 of each 21-day cycle and sorafenib 400 mg orally twice daily as background therapy until unacceptable toxicity documentation of disease progression initiation of alternative anticancer treatment or withdrawal for other reasons.
Total all-cause mortality,2/3 %66.67,2/3 %66.67
Total serious adverse events,1/3 %33.33,1/3 %33.33
Abdominal pain,1/3 %33.33,0/3 %0.0
Asthenia,1/3 %33.33,0/3 %0.0
Non-cardiac chest pain,1/3 %33.33,0/3 %0.0
Hepatic failure,0/3 %0.0,1/3 %33.33
Lipase increased,0/3 %0.0,1/3 %33.33
Hepatic encephalopathy,0/3 %0.0,1/3 %33.33
Pneumothorax,1/3 %33.33,0/3 %0.0

Sorafenib for the Treatment of Chronic Lymphocytic Leukemia (CLL)(https://clinicaltrials.gov/show/NCT01510756)
 ,Sorafenib
 ,Sorafenib 400mg orally twice daily will be administered for three cycles (1 cycle = 28 days). Sorafenib: Sorafenib 400mg orally twice daily will be administered for three cycles (1 cycle = 28 days). Subjects without significant toxicity or progressive disease may elect to continue treatment for a total of twelve cycles.
Total serious adverse events,1/4 %25.0
Brain abscess (aspergillus),1/4 %25.0

Phase I/II Study of Combination of Sorafenib  Vorinostat  and Bortezomib for the Treatment of Acute Myeloid Leukemia With Complex- or Poor-risk (Monosomy 5/7) Cytogenetics or FLT3-ITD Positive Genotype(https://clinicaltrials.gov/show/NCT01534260)
 ,Phase I Dose Escalating,Phase II at MTD
 ,escalating dose cohorts of sorafenib vorinostat and bortezomib. All cohorts will receive sorafenib from day 1 to 14 and vorinostat from day 1 to 4 and day 8 to 12. Bortezomib will be given on days 1 and 8 for all cohorts with cohorts 4 and 5 also receiving bortezomib on days 4 and 11 for cycles 1 through 4. This will be followed by 7 days of rest. Therefore each cycle will be 21 days.,patients received sorafenib at 400 mg bid from day 1 to 14 and vorinostat 200 mg bid from day 1 to 14. Bortezomib will be given at 1.3 mg/m2 on days 1 4 8 and 11 for cycles 1-4 and then on days 1 and 8 for cycle 5 and beyond. Bortezomib will be given on days 1 and 8 beyond 4 cycles to reduce the risk of neurotoxicity.
Total serious adverse events,7/17 %41.18,11/20 %55.0
Febrile neutropenia,2/17 %11.76,1/20 %5.0
Myocardial infarction,0/17 %0.0,1/20 %5.0
Eye disorders – Other,0/17 %0.0,1/20 %5.0
Diarrhea,0/17 %0.0,2/20 %10.0
Nausea,1/17 %5.88,0/20 %0.0
Rectal hemorrhage,1/17 %5.88,0/20 %0.0
Fever,3/17 %17.65,2/20 %10.0
Lung infection,1/17 %5.88,1/20 %5.0
Sepsis,1/17 %5.88,2/20 %10.0
Neutrophil count decreased,0/17 %0.0,1/20 %5.0
Generalized muscle weakness,0/17 %0.0,1/20 %5.0
Myositis,0/17 %0.0,1/20 %5.0
Syncope,0/17 %0.0,1/20 %5.0
Epistaxis,1/17 %5.88,0/20 %0.0
Respiratory failure,0/17 %0.0,2/20 %10.0

Panobinostat and Everolimus in Treating Patients With Metastatic or Unresectable Renal Cell Cancer That Does Not Respond to Treatment With Sunitinib Malate or Sorafenib Tosylate(https://clinicaltrials.gov/show/NCT01582009)
 ,Arm I: Oral Panobinostat and Oral Everolimus
 ,Patients receive oral panobinostat once daily on days 1 3 4 8 10 and 12 and oral everolimus once daily on days 1-21. Treatment repeats every 21 days in the absence of disease progression or unacceptable toxicity. panobinostat: Given orally everolimus: Given orally laboratory biomarker analysis: Correlative studies pharmacological study: Correlative studies liquid chromatography: Correlative studies mass spectrometry: Correlative studies enzyme-linked immunosorbent assay: Correlative studies immunohistochemistry staining method: Correlative studies
Total serious adverse events,9/26 %34.62
Thrombocytopenia,1/26 %3.85
Atrial fibrillation,1/26 %3.85
Supraventricular tachycardia,1/26 %3.85
Abdominal hernia,1/26 %3.85
Abdominal pain lower,1/26 %3.85
Disease progression,1/26 %3.85
Pneumocystis jiroveci pneumonia,1/26 %3.85
Pneumonia,1/26 %3.85
Contusion,1/26 %3.85
Dehydration,1/26 %3.85
Muscular weakness,1/26 %3.85
Confusional state,1/26 %3.85
Dyspnoea,1/26 %3.85

SGI-110 in the Treatment of Advanced Hepatocellular Carcinoma (HCC)(https://clinicaltrials.gov/show/NCT01752933)
 ,Guadecitabine 60 mg/m^2,Guadecitabine 45 mg/m^2
 ,Guadecitabine (SGI-110) 60 mg/m^2 SC on Days 1 - 5 of each 28-day cycle,Guadecitabine (SGI-110) 45 mg/m^2 SC on Days 1 - 5 of each 28-day cycle
Total all-cause mortality,4/4 %100.0,34/46 %73.91
Total serious adverse events,1/4 %25.0,21/46 %45.65
Anaemia,0/4 %0.0,1/46 %2.17
Febrile neutropenia,1/4 %25.0,5/46 %10.87
Atrial fibrillation,0/4 %0.0,1/46 %2.17
Adrenal haemorrhage,0/4 %0.0,1/46 %2.17
Abdominal pain,0/4 %0.0,2/46 %4.35
Ascites,0/4 %0.0,1/46 %2.17
Diarrhoea,0/4 %0.0,1/46 %2.17
Gastrointestinal haemorrhage,0/4 %0.0,1/46 %2.17
Nausea,0/4 %0.0,1/46 %2.17
Oesophagitis,0/4 %0.0,1/46 %2.17
Upper gastrointestinal haemorrhage,0/4 %0.0,1/46 %2.17
Vomiting,0/4 %0.0,1/46 %2.17
Hyperbilirubinaemia,0/4 %0.0,1/46 %2.17
Portal vein thrombosis,0/4 %0.0,1/46 %2.17
Pneumonia,0/4 %0.0,1/46 %2.17
Staphylococcal sepsis,0/4 %0.0,1/46 %2.17
Road traffic accident,0/4 %0.0,2/46 %4.35
Blood creatinine increased,0/4 %0.0,1/46 %2.17
Hyponatremia,0/4 %0.0,1/46 %2.17
Pain in extremity,0/4 %0.0,2/46 %4.35
Hepatic encephalopathy,0/4 %0.0,1/46 %2.17
Nephrolithiasis,0/4 %0.0,1/46 %2.17
Renal failure acute,0/4 %0.0,1/46 %2.17
Scrotal pain,0/4 %0.0,1/46 %2.17
Hypoxia,0/4 %0.0,1/46 %2.17
Respiratory failure,0/4 %0.0,1/46 %2.17
Hypotension,0/4 %0.0,1/46 %2.17

A Study of Vitamin C in the Treatment of Liver Cancer to Determine if it is Safe and Effective(https://clinicaltrials.gov/show/NCT01754987)
 ,Ascorbic Acid + Sorafenib,Sorafenib Alone
 ,Drug: Vitamin C Other Names: Ascorbic Acid Ascorbate Dosage: Vitamin C : 100 grams (infusion) Phase I: 3x a week for 8 weeks Phase II: 3x a week for 16 weeks Sorafenib: taken daily (oral) Ascorbic Acid + Sorafenib,Sorafenib: taken daily (oral) Sorafenib
Total serious adverse events,1/5 %20.0,0/0 %0.0
Dehydration,1/5 %20.0,0/0 %0.0

Sorafenib + mFOLFOX for Hepatocellular Carcinoma(https://clinicaltrials.gov/show/NCT01775501)
 ,FOLFOX + Sorafenib
 ,FOLFOX (Leucovorin Fluorouracil and Oxaliplatin) + Sorafenib Sorafenib: orally twice daily FOLFOX: injected via portacath once every two weeks Leucovorin: 200mg/m2 administered IV on Days 1 and 15 of a 28 day cycle. Number of Cycles: until progression or unacceptable toxicity develops. Fluorouracil: 5-FU continuous infusion: 2400mg/m2 total (1200mg/m2/d on day 1 and 2) to start on Day 1 and Day 15 of each 28 day cycle. Number of Cycles: until progression or unacceptable toxicity develops. Oxaliplatin: 85 mg/m2 IV on Days 1 and 15 of each 28 day cycle. Number of Cycles: until progression or unacceptable toxicity develops. Sorafenib: 400mg po BID continuously for a 2 week lead-in phase and then Days 1-28 of each 28 day cycle. Number of Cycles: until progression or unacceptable toxicity develops.
Total all-cause mortality,2/40 %5.0
Total serious adverse events,32/40 %80.0
Anemia,3/40 %7.5
Bleeding (Epistaxis Hematuria Hematoma Hemorrhoidal hemorrhage Rectal hemorrhage),1/40 %2.5
Diarrhea,4/40 %10.0
Mouth Sores,1/40 %2.5
Pancreatitis,1/40 %2.5
Fatigue,3/40 %7.5
Fever,1/40 %2.5
Vascular access complication,1/40 %2.5
Alanine aminotransferase increased,6/40 %15.0
Alkaline phosphatase increased,2/40 %5.0
Aspartate aminotransferase increased,9/40 %22.5
Blood bilirubin increased,4/40 %10.0
Lipase increased,9/40 %22.5
Lymphocyte count decreased,7/40 %17.5
Neutrophil count decreased,3/40 %7.5
Platelet count decreased,2/40 %5.0
Serum amylase increased,2/40 %5.0
Hyperglycemia,1/40 %2.5
Hypernatremia,1/40 %2.5
Hyponatremia,2/40 %5.0
Hypophosphatemia,13/40 %32.5
Pneumonitis,1/40 %2.5
Diaphoresis,1/40 %2.5
Palmar-plantar erythrodysesthesia syndrome,3/40 %7.5
Rash,1/40 %2.5
Flushing,1/40 %2.5
Hypertension,2/40 %5.0

Efficacy Evaluation of TheraSphere to Treat Inoperable Liver Cancer With Blockage of the Portal Vein(https://clinicaltrials.gov/show/NCT01887717)
 ,TheraSphere,Sorafenib
 ,Participants received TheraSphere at a dose consistent with the approved package insert to the treated lobe of the liver. TheraSphere was administered through the hepatic artery. The targeted dose was 120 Gy + 10%. Dose reduction to a minimum dose of 80 Gy + 10% was permitted to manage radiation exposure to the lungs. Re-treatment of the same participant/lobe with further cycles of TheraSphere was permitted if a treatable progression was detected during follow-up evaluations. Any re-treatment took place at least 28 days after the previous TheraSphere treatment administered to that lobe. Participants could receive a subsequent TheraSphere administration in the absence of radiological progression criteria at the Investigator's discretion. A maximum of 3 TheraSphere administrations was permitted.,Participants received sorafenib oral tablets 400 milligrams (mg) twice daily in accordance with the package insert. Treatment was to continue until the participant was no longer clinically benefiting from therapy or until unacceptable toxicity occurred. Medically appropriate dose adjustments and drug holidays due to adverse events (AEs) and toxicity were allowed.
Total all-cause mortality,15/15 %100.0,16/16 %100.0
Total serious adverse events,0/15 %0.0,12/16 %75.0
Diarrhoea,0/15 %0.0,1/16 %6.25
Gastrointestinal haemorrhage,0/15 %0.0,1/16 %6.25
Gastrointestinal vascular malformation,0/15 %0.0,1/16 %6.25
Haematemesis,0/15 %0.0,1/16 %6.25
Nausea,0/15 %0.0,1/16 %6.25
Vomiting,0/15 %0.0,1/16 %6.25
General Physical Health Deterioration,0/15 %0.0,1/16 %6.25
Influenza like illness,0/15 %0.0,1/16 %6.25
Hepatic encephalopathy,0/15 %0.0,2/16 %12.5
Dyspnoea,0/15 %0.0,1/16 %6.25
Respiratory Failure,0/15 %0.0,1/16 %6.25

A Study To Evaluate The Efficacy And Safety of The Investigational Drug PF-03446962 (A Monoclonal Antibody With Antiangiogenic Features) In Combination With Best Supportive Care Versus Placebo Plus Best Supportive Care In Patients Affected By Recurrent Liver Cancer(https://clinicaltrials.gov/show/NCT01911273)
 ,PF-03446962 Plus BSC,BSC Alone
 ,PF-03446962 7 mg/kg was administered IV as 1-hour infusion q2w plus BSC,BSC might vary depending on the participant's signs and symptoms site current practice and country practice and might include medications and supportive measures deemed necessary to palliate disease-related symptoms and improve quality of life.
Total serious adverse events,0/1 %0.0,0/2 %0.0

Efficacy  Safety  and Pharmacokinetic of MSC2156119J in Asian Participants With Hepatocellular Carcinoma(https://clinicaltrials.gov/show/NCT01988493)
 ,Phase 1b: Tepotinib 300 mg,Phase 1b: Tepotinib 500 mg,Phase 1b: Tepotinib 1000 mg,Phase 2: Tepotinib,Phase 2 Sorafenib
 ,Participants received Tepotinib 300 milligram (mg) orally once daily over a 21-day cycle until disease progression intolerable toxicity or participant withdrawal.,Participants received Tepotinib 500 mg orally once daily over a 21-day cycle until disease progression intolerable toxicity or participant withdrawal.,Participants received Tepotinib 1000 mg orally once daily over a 21-day cycle until disease progression intolerable toxicity or participant withdrawal.,Participants randomized to receive Tepotinib recommended Phase 2 dose (RP2D) determined from Phase 1b over a 21-day cycle until disease progression intolerable toxicity or participant withdrawal.,Participants randomized to receive Sorafenib 400 mg orally twice daily over a 21-day cycle until disease progression intolerable toxicity or participant withdrawal.
Total all-cause mortality,7/7 %100.0,11/14 %78.57,3/6 %50.0,24/45 %53.33,30/44 %68.18
Total serious adverse events,2/7 %28.57,9/14 %64.29,4/6 %66.67,23/45 %51.11,12/44 %27.27
Thrombocytopenia,0/7 %0.0,0/14 %0.0,0/6 %0.0,1/45 %2.22,0/44 %0.0
Supraventricular tachycardia,0/7 %0.0,0/14 %0.0,0/6 %0.0,1/45 %2.22,0/44 %0.0
Abdominal pain,0/7 %0.0,1/14 %7.14,1/6 %16.67,2/45 %4.44,2/44 %4.55
Ascites,0/7 %0.0,1/14 %7.14,0/6 %0.0,2/45 %4.44,0/44 %0.0
Diarrhoea,0/7 %0.0,1/14 %7.14,0/6 %0.0,1/45 %2.22,1/44 %2.27
Duodenal ulcer,0/7 %0.0,1/14 %7.14,0/6 %0.0,0/45 %0.0,0/44 %0.0
Encapsulating peritoneal sclerosis,0/7 %0.0,1/14 %7.14,0/6 %0.0,0/45 %0.0,0/44 %0.0
Ileus,0/7 %0.0,1/14 %7.14,0/6 %0.0,1/45 %2.22,0/44 %0.0
Melaena,0/7 %0.0,1/14 %7.14,0/6 %0.0,0/45 %0.0,0/44 %0.0
Upper gastrointestinal haemorrhage,0/7 %0.0,1/14 %7.14,0/6 %0.0,1/45 %2.22,1/44 %2.27
Duodenal ulcer haemorrhage,0/7 %0.0,0/14 %0.0,0/6 %0.0,1/45 %2.22,0/44 %0.0
Peritoneal haemorrhage,0/7 %0.0,0/14 %0.0,0/6 %0.0,1/45 %2.22,0/44 %0.0
Disease progression,1/7 %14.29,0/14 %0.0,0/6 %0.0,7/45 %15.56,2/44 %4.55
Asthenia,0/7 %0.0,0/14 %0.0,0/6 %0.0,0/45 %0.0,1/44 %2.27
Hernia,0/7 %0.0,0/14 %0.0,0/6 %0.0,1/45 %2.22,0/44 %0.0
Oedema peripheral,0/7 %0.0,0/14 %0.0,0/6 %0.0,2/45 %4.44,0/44 %0.0
Cholecystitis acute,0/7 %0.0,0/14 %0.0,0/6 %0.0,0/45 %0.0,1/44 %2.27
Hepatic failure,0/7 %0.0,0/14 %0.0,0/6 %0.0,1/45 %2.22,1/44 %2.27
Hepatic function abnormal,0/7 %0.0,0/14 %0.0,0/6 %0.0,1/45 %2.22,0/44 %0.0
Candida infection,0/7 %0.0,0/14 %0.0,1/6 %16.67,0/45 %0.0,0/44 %0.0
Cellulitis,0/7 %0.0,0/14 %0.0,0/6 %0.0,1/45 %2.22,0/44 %0.0
Enteritis infectious,0/7 %0.0,0/14 %0.0,0/6 %0.0,1/45 %2.22,0/44 %0.0
Pneumonia,0/7 %0.0,1/14 %7.14,0/6 %0.0,0/45 %0.0,0/44 %0.0
Alanine aminotransferase increased,1/7 %14.29,0/14 %0.0,0/6 %0.0,0/45 %0.0,0/44 %0.0
Aspartate aminotransferase increased,1/7 %14.29,0/14 %0.0,0/6 %0.0,0/45 %0.0,0/44 %0.0
Blood bilirubin increased,0/7 %0.0,1/14 %7.14,0/6 %0.0,0/45 %0.0,1/44 %2.27
Lipase increased,0/7 %0.0,0/14 %0.0,0/6 %0.0,0/45 %0.0,1/44 %2.27
Decreased appetite,0/7 %0.0,0/14 %0.0,1/6 %16.67,1/45 %2.22,0/44 %0.0
Hyperglycaemia,0/7 %0.0,0/14 %0.0,0/6 %0.0,1/45 %2.22,0/44 %0.0
Muscular weakness,0/7 %0.0,0/14 %0.0,1/6 %16.67,0/45 %0.0,0/44 %0.0
Musculoskeletal pain,0/7 %0.0,0/14 %0.0,0/6 %0.0,1/45 %2.22,0/44 %0.0
Gouty arthritis,0/7 %0.0,0/14 %0.0,0/6 %0.0,1/45 %2.22,0/44 %0.0
Metastases to central nervous system,0/7 %0.0,0/14 %0.0,0/6 %0.0,0/45 %0.0,1/44 %2.27
Bladder cancer,0/7 %0.0,1/14 %7.14,0/6 %0.0,0/45 %0.0,0/44 %0.0
Cerebrovascular accident,0/7 %0.0,1/14 %7.14,0/6 %0.0,0/45 %0.0,0/44 %0.0
Haemorrhage intracranial,0/7 %0.0,1/14 %7.14,0/6 %0.0,0/45 %0.0,1/44 %2.27
Hepatic encephalopathy,0/7 %0.0,0/14 %0.0,0/6 %0.0,2/45 %4.44,1/44 %2.27
Paraesthesia,0/7 %0.0,0/14 %0.0,0/6 %0.0,2/45 %4.44,0/44 %0.0
Seizure,0/7 %0.0,0/14 %0.0,1/6 %16.67,0/45 %0.0,0/44 %0.0
Dyspnoea exertional,1/7 %14.29,0/14 %0.0,0/6 %0.0,0/45 %0.0,0/44 %0.0
Haemoptysis,1/7 %14.29,0/14 %0.0,0/6 %0.0,0/45 %0.0,0/44 %0.0
Pleural effusion,1/7 %14.29,0/14 %0.0,0/6 %0.0,0/45 %0.0,0/44 %0.0
Rash maculo-papular,0/7 %0.0,1/14 %7.14,0/6 %0.0,0/45 %0.0,0/44 %0.0
Deep vein thrombosis,0/7 %0.0,0/14 %0.0,0/6 %0.0,0/45 %0.0,1/44 %2.27
Hypertension,1/7 %14.29,0/14 %0.0,0/6 %0.0,0/45 %0.0,0/44 %0.0
Lymphoedema,0/7 %0.0,0/14 %0.0,0/6 %0.0,1/45 %2.22,0/44 %0.0

Sorafenib Tosylate  Combination Chemotherapy  Radiation Therapy  and Surgery in Treating Patients With High-Risk Stage IIB-IV Soft Tissue Sarcoma(https://clinicaltrials.gov/show/NCT02050919)
 ,Treatment (Sorafenib Chemotherapy Radiation Surgery)
 ,Patients receive sorafenib tosylate PO QD on days 1-71 and 85-155 epirubicin hydrochloride IV over 3-5 minutes and ifosfamide IV over 90 minutes on days 15-17 36-38 (ifosfamide only) 57-59 99-101 120-122 and 141-143. Patients undergo EBRT on days 36-45 and surgical resection on day 78. Patients with positive margins undergo EBRT boost on days 91-98. Epirubicin Hydrochloride: Given IV External Beam Radiation Therapy: Undergo EBRT Ifosfamide: Given IV Laboratory Biomarker Analysis: Correlative studies Sorafenib Tosylate: Given PO Therapeutic Conventional Surgery: Undergo surgical resection
Total all-cause mortality,5/20 %25.0
Total serious adverse events,18/20 %90.0
Febrile Neutropenia,12/20 %60.0
Constipation,1/20 %5.0
Diarrhea,1/20 %5.0
Catheter Related infection,1/20 %5.0
enterocolitis infectious,1/20 %5.0
Sepsis,3/20 %15.0
Soft tissue infection,1/20 %5.0
wound infection,7/20 %35.0
wound dehiscence,1/20 %5.0
Lymphocyte count decreased,1/20 %5.0
Neutrophil Count decreased,1/20 %5.0
Platelet Count Decreased,2/20 %10.0
Hypokalemia,1/20 %5.0
Encephalopathy,3/20 %15.0
syncope,1/20 %5.0
Delirium,1/20 %5.0
Palmar-plantar erythrodysesthesia syndrome,1/20 %5.0

Sorafenib Tosylate in Treating Patients With Desmoid Tumors or Aggressive Fibromatosis(https://clinicaltrials.gov/show/NCT02066181)
 ,Arm I (Sorafenib Tosylate),Arm II (Placebo),Crossover Group
 ,Patients receive sorafenib tosylate PO QD on days 1-28.,Patients receive placebo PO QD on days 1-28. Patients may crossover to Arm I upon disease progression.,Upon disease progression patients treated with placebo will be allowed to crossover to the open label sorafenib arm.
Total all-cause mortality,1/49 %2.04,0/36 %0.0,0/28 %0.0
Total serious adverse events,11/49 %22.45,6/36 %16.67,5/28 %17.86
Anemia,1/49 %2.04,0/36 %0.0,0/28 %0.0
Blood and lymphatic system disorders - Other specify,1/49 %2.04,0/36 %0.0,0/28 %0.0
Chest pain - cardiac,1/49 %2.04,0/36 %0.0,0/28 %0.0
Heart failure,1/49 %2.04,0/36 %0.0,0/28 %0.0
Palpitations,1/49 %2.04,0/36 %0.0,0/28 %0.0
Abdominal pain,0/49 %0.0,1/36 %2.78,0/28 %0.0
Diarrhea,2/49 %4.08,0/36 %0.0,0/28 %0.0
Gastric perforation,1/49 %2.04,0/36 %0.0,0/28 %0.0
Malabsorption,0/49 %0.0,0/36 %0.0,1/28 %3.57
Nausea,1/49 %2.04,1/36 %2.78,0/28 %0.0
Pancreatitis,1/49 %2.04,0/36 %0.0,0/28 %0.0
Small intestinal obstruction,0/49 %0.0,2/36 %5.56,0/28 %0.0
Vomiting,0/49 %0.0,1/36 %2.78,0/28 %0.0
Fatigue,2/49 %4.08,0/36 %0.0,0/28 %0.0
Fever,0/49 %0.0,1/36 %2.78,0/28 %0.0
General disorders and administration site conditions - Other specify,0/49 %0.0,1/36 %2.78,0/28 %0.0
Appendicitis,0/49 %0.0,0/36 %0.0,1/28 %3.57
Sepsis,0/49 %0.0,0/36 %0.0,1/28 %3.57
Injury poisoning and procedural complications - Other specify,0/49 %0.0,0/36 %0.0,1/28 %3.57
Alanine aminotransferase increased,0/49 %0.0,0/36 %0.0,1/28 %3.57
Hypertriglyceridemia,1/49 %2.04,1/36 %2.78,0/28 %0.0
Arthralgia,1/49 %2.04,0/36 %0.0,0/28 %0.0
Flank pain,0/49 %0.0,1/36 %2.78,0/28 %0.0
Pregnancy puerperium and perinatal conditions - Other specify,1/49 %2.04,0/36 %0.0,0/28 %0.0
Unintended pregnancy,1/49 %2.04,0/36 %0.0,0/28 %0.0
Acute kidney injury,1/49 %2.04,0/36 %0.0,0/28 %0.0
Dyspnea,1/49 %2.04,0/36 %0.0,0/28 %0.0
Palmar-plantar erythrodysesthesia syndrome,2/49 %4.08,0/36 %0.0,0/28 %0.0
Skin and subcutaneous tissue disorders - Other specify,1/49 %2.04,0/36 %0.0,0/28 %0.0
Hypertension,1/49 %2.04,1/36 %2.78,1/28 %3.57

c-Met Second-Line Hepatocellular Carcinoma(https://clinicaltrials.gov/show/NCT02115373)
 ,Phase 1b: Tepotinib 300 mg,Phase 1b: Tepotinib 500 mg,Phase 2: Tepotinib 500 mg
 ,Participants received a single oral dose of Tepotinib 300 milligram (mg) daily in each 21 days treatment cycle until progressive disease intolerable toxicity death or withdrawal from treatment.,Participants received a single oral dose of Tepotinib 500 mg daily in each 21 days treatment cycle until progressive disease intolerable toxicity death or withdrawal from treatment.,Participants received a single oral dose of Tepotinib 500 mg daily in each 21 days treatment cycle until progressive disease intolerable toxicity death or withdrawal from treatment.
Total all-cause mortality,3/4 %75.0,11/13 %84.62,40/49 %81.63
Total serious adverse events,2/4 %50.0,5/13 %38.46,21/49 %42.86
Abdominal pain,1/4 %25.0,0/13 %0.0,0/49 %0.0
Ascites,0/4 %0.0,2/13 %15.38,3/49 %6.12
Gastrointestinal haemorrhage,0/4 %0.0,0/13 %0.0,1/49 %2.04
Disease progression,1/4 %25.0,1/13 %7.69,7/49 %14.29
Localised oedema,0/4 %0.0,1/13 %7.69,0/49 %0.0
Oedema peripheral,0/4 %0.0,2/13 %15.38,1/49 %2.04
Discomfort,0/4 %0.0,0/13 %0.0,1/49 %2.04
General physical health deterioration,0/4 %0.0,0/13 %0.0,1/49 %2.04
Pyrexia,0/4 %0.0,0/13 %0.0,1/49 %2.04
Vascular stent stenosis,0/4 %0.0,0/13 %0.0,1/49 %2.04
Cholangitis,0/4 %0.0,0/13 %0.0,1/49 %2.04
Hepatic failure,0/4 %0.0,0/13 %0.0,1/49 %2.04
Jaundice,0/4 %0.0,0/13 %0.0,1/49 %2.04
Hepatorenal syndrome,0/4 %0.0,1/13 %7.69,0/49 %0.0
Device related infection,0/4 %0.0,0/13 %0.0,1/49 %2.04
Peritonitis bacterial,0/4 %0.0,0/13 %0.0,1/49 %2.04
Sepsis,0/4 %0.0,1/13 %7.69,1/49 %2.04
Peritonitis,0/4 %0.0,1/13 %7.69,0/49 %0.0
Post procedural infection,1/4 %25.0,0/13 %0.0,0/49 %0.0
Blood bilirubin increased,1/4 %25.0,0/13 %0.0,0/49 %0.0
Hypercalcaemia,0/4 %0.0,0/13 %0.0,1/49 %2.04
Hypercreatininaemia,0/4 %0.0,0/13 %0.0,1/49 %2.04
Hyponatraemia,0/4 %0.0,0/13 %0.0,1/49 %2.04
Decreased appetite,1/4 %25.0,0/13 %0.0,0/49 %0.0
Rhabdomyolysis,0/4 %0.0,0/13 %0.0,1/49 %2.04
Cancer pain,0/4 %0.0,0/13 %0.0,1/49 %2.04
Tumour pain,0/4 %0.0,0/13 %0.0,1/49 %2.04
Coma,0/4 %0.0,1/13 %7.69,0/49 %0.0
Hepatic encephalopathy,0/4 %0.0,1/13 %7.69,0/49 %0.0
Cerebral thrombosis,0/4 %0.0,0/13 %0.0,1/49 %2.04
Hypoglycaemic coma,0/4 %0.0,0/13 %0.0,1/49 %2.04
Acute kidney injury,1/4 %25.0,1/13 %7.69,3/49 %6.12
Chronic kidney disease,0/4 %0.0,0/13 %0.0,1/49 %2.04
