
A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer(https://clinicaltrials.gov/show/NCT00090545)
 ,First Stage - Disease Progression,Second Stage - Increased Accrual
 ,The first stage was to rule out the probability of 4 month progression free survival. Patients were given 400 mg BAY 43-9006 orally twice daily in 28 day cycles.,Due to prostatic specific antigen and radiographic discordance during the first stage the protocol was amended to allow accrual to a second stage. 400 mg BAY 43-9006 orally twice daily in 28 day cycles.
Total all-cause mortality,0/22 %0.0,1/24 %4.17
Total serious adverse events,2/22 %9.09,6/24 %25.0
Constipation,0/22 %0.0,1/24 %4.17
Dehydration,0/22 %0.0,1/24 %4.17
Death not associated with CTCAE term::Death NOS,0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Bladder (urinary),0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Lung (pneumonia),0/22 %0.0,1/24 %4.17
Hemoglobin,0/22 %0.0,2/24 %8.33
Pain::Back,0/22 %0.0,1/24 %4.17
Pain::Bone,0/22 %0.0,1/24 %4.17
Pain::Joint,0/22 %0.0,1/24 %4.17
Pain::Muscle,0/22 %0.0,1/24 %4.17
CNS cerebrovascular ischemia,0/22 %0.0,1/24 %4.17
Pain::Head/headache,0/22 %0.0,1/24 %4.17
Hypertension,1/22 %4.55,0/24 %0.0
Hypotension,1/22 %4.55,0/24 %0.0

BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer(https://clinicaltrials.gov/show/NCT00098254)
 ,BAY 43-9006 (Sorafenib)
 ,INDUCTION CHEMOTHERAPY (G-CLAM): Patients receive G-CLAM chemotherapy comprising filgrastim SC daily on days 0-5 mitoxantrone hydrochloride IV over 60 minutes on days 1-3 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Patients achieving CRi partial remission or persistent disease may receive a second course of induction chemotherapy. Patients achieving CR or CRp may continue on to Consolidation Chemotherapy.  CONSOLIDATION CHEMOTHERAPY (G-CLA): Beginning within 6 weeks of achieving CR/CRp/CRi patients receive G-CLA comprising filgrastim SC on days 0-5 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Treatment continues for up to 4 courses in the absence of disease progression or unacceptable toxicity.  Cladribine: Given IV  Cytarabine: Given IV  Filgrastim: Given SC  Laboratory Biomarker Analysis: Correlative studies  Mitoxantrone Hydrochloride: Given IV,INDUCTION CHEMOTHERAPY (G-CLAM): Patients receive G-CLAM chemotherapy comprising filgrastim SC daily on days 0-5 mitoxantrone hydrochloride IV over 60 minutes on days 1-3 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Patients achieving CRi partial remission or persistent disease may receive a second course of induction chemotherapy. Patients achieving CR or CRp may continue on to Consolidation Chemotherapy.  CONSOLIDATION CHEMOTHERAPY (G-CLA): Beginning within 6 weeks of achieving CR/CRp/CRi patients receive G-CLA comprising filgrastim SC on days 0-5 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Treatment continues for up to 4 courses in the absence of disease progression or unacceptable toxicity.  Cladribine: Given IV  Cytarabine: Given IV  Filgrastim: Given SC  Laboratory Biomarker Analysis: Correlative studies  Mitoxantrone Hydrochloride: Given IV,INDUCTION CHEMOTHERAPY (G-CLAM): Patients receive G-CLAM chemotherapy comprising filgrastim SC daily on days 0-5 mitoxantrone hydrochloride IV over 60 minutes on days 1-3 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Patients achieving CRi partial remission or persistent disease may receive a second course of induction chemotherapy. Patients achieving CR or CRp may continue on to Consolidation Chemotherapy.  CONSOLIDATION CHEMOTHERAPY (G-CLA): Beginning within 6 weeks of achieving CR/CRp/CRi patients receive G-CLA comprising filgrastim SC on days 0-5 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Treatment continues for up to 4 courses in the absence of disease progression or unacceptable toxicity.  Cladribine: Given IV  Cytarabine: Given IV  Filgrastim: Given SC  Laboratory Biomarker Analysis: Correlative studies  Mitoxantrone Hydrochloride: Given IV,INDUCTION CHEMOTHERAPY (G-CLAM): Patients receive G-CLAM chemotherapy comprising filgrastim SC daily on days 0-5 mitoxantrone hydrochloride IV over 60 minutes on days 1-3 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Patients achieving CRi partial remission or persistent disease may receive a second course of induction chemotherapy. Patients achieving CR or CRp may continue on to Consolidation Chemotherapy.  CONSOLIDATION CHEMOTHERAPY (G-CLA): Beginning within 6 weeks of achieving CR/CRp/CRi patients receive G-CLA comprising filgrastim SC on days 0-5 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Treatment continues for up to 4 courses in the absence of disease progression or unacceptable toxicity.  Cladribine: Given IV  Cytarabine: Given IV  Filgrastim: Given SC  Laboratory Biomarker Analysis: Correlative studies  Mitoxantrone Hydrochloride: Given IV,INDUCTION CHEMOTHERAPY (G-CLAM): Patients receive G-CLAM chemotherapy comprising filgrastim SC daily on days 0-5 mitoxantrone hydrochloride IV over 60 minutes on days 1-3 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Patients achieving CRi partial remission or persistent disease may receive a second course of induction chemotherapy. Patients achieving CR or CRp may continue on to Consolidation Chemotherapy.  CONSOLIDATION CHEMOTHERAPY (G-CLA): Beginning within 6 weeks of achieving CR/CRp/CRi patients receive G-CLA comprising filgrastim SC on days 0-5 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Treatment continues for up to 4 courses in the absence of disease progression or unacceptable toxicity.  Cladribine: Given IV  Cytarabine: Given IV  Filgrastim: Given SC  Laboratory Biomarker Analysis: Correlative studies  Mitoxantrone Hydrochloride: Given IV,INDUCTION CHEMOTHERAPY (G-CLAM): Patients receive G-CLAM chemotherapy comprising filgrastim SC daily on days 0-5 mitoxantrone hydrochloride IV over 60 minutes on days 1-3 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Patients achieving CRi partial remission or persistent disease may receive a second course of induction chemotherapy. Patients achieving CR or CRp may continue on to Consolidation Chemotherapy.  CONSOLIDATION CHEMOTHERAPY (G-CLA): Beginning within 6 weeks of achieving CR/CRp/CRi patients receive G-CLA comprising filgrastim SC on days 0-5 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Treatment continues for up to 4 courses in the absence of disease progression or unacceptable toxicity.  Cladribine: Given IV  Cytarabine: Given IV  Filgrastim: Given SC  Laboratory Biomarker Analysis: Correlative studies  Mitoxantrone Hydrochloride: Given IV,INDUCTION CHEMOTHERAPY (G-CLAM): Patients receive G-CLAM chemotherapy comprising filgrastim SC daily on days 0-5 mitoxantrone hydrochloride IV over 60 minutes on days 1-3 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Patients achieving CRi partial remission or persistent disease may receive a second course of induction chemotherapy. Patients achieving CR or CRp may continue on to Consolidation Chemotherapy.  CONSOLIDATION CHEMOTHERAPY (G-CLA): Beginning within 6 weeks of achieving CR/CRp/CRi patients receive G-CLA comprising filgrastim SC on days 0-5 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Treatment continues for up to 4 courses in the absence of disease progression or unacceptable toxicity.  Cladribine: Given IV  Cytarabine: Given IV  Filgrastim: Given SC  Laboratory Biomarker Analysis: Correlative studies  Mitoxantrone Hydrochloride: Given IV,INDUCTION CHEMOTHERAPY (G-CLAM): Patients receive G-CLAM chemotherapy comprising filgrastim SC daily on days 0-5 mitoxantrone hydrochloride IV over 60 minutes on days 1-3 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Patients achieving CRi partial remission or persistent disease may receive a second course of induction chemotherapy. Patients achieving CR or CRp may continue on to Consolidation Chemotherapy.  CONSOLIDATION CHEMOTHERAPY (G-CLA): Beginning within 6 weeks of achieving CR/CRp/CRi patients receive G-CLA comprising filgrastim SC on days 0-5 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Treatment continues for up to 4 courses in the absence of disease progression or unacceptable toxicity.  Cladribine: Given IV  Cytarabine: Given IV  Filgrastim: Given SC  Laboratory Biomarker Analysis: Correlative studies  Mitoxantrone Hydrochloride: Given IV,INDUCTION CHEMOTHERAPY (G-CLAM): Patients receive G-CLAM chemotherapy comprising filgrastim SC daily on days 0-5 mitoxantrone hydrochloride IV over 60 minutes on days 1-3 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Patients achieving CRi partial remission or persistent disease may receive a second course of induction chemotherapy. Patients achieving CR or CRp may continue on to Consolidation Chemotherapy.  CONSOLIDATION CHEMOTHERAPY (G-CLA): Beginning within 6 weeks of achieving CR/CRp/CRi patients receive G-CLA comprising filgrastim SC on days 0-5 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Treatment continues for up to 4 courses in the absence of disease progression or unacceptable toxicity.  Cladribine: Given IV  Cytarabine: Given IV  Filgrastim: Given SC  Laboratory Biomarker Analysis: Correlative studies  Mitoxantrone Hydrochloride: Given IV,INDUCTION CHEMOTHERAPY (G-CLAM): Patients receive G-CLAM chemotherapy comprising filgrastim SC daily on days 0-5 mitoxantrone hydrochloride IV over 60 minutes on days 1-3 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Patients achieving CRi partial remission or persistent disease may receive a second course of induction chemotherapy. Patients achieving CR or CRp may continue on to Consolidation Chemotherapy.  CONSOLIDATION CHEMOTHERAPY (G-CLA): Beginning within 6 weeks of achieving CR/CRp/CRi patients receive G-CLA comprising filgrastim SC on days 0-5 cladribine IV over 2 hours daily on days 1-5 and cytarabine IV over 2 hours daily on days 1-5. Treatment continues for up to 4 courses in the absence of disease progression or unacceptable toxicity.  Cladribine: Given IV  Cytarabine: Given IV  Filgrastim: Given SC  Laboratory Biomarker Analysis: Correlative studies  Mitoxantrone Hydrochloride: Given IV
Total all-cause mortality,0/9 %0.0,2/9 %22.22,2/9 %22.22,1/6 %16.67,6/10 %60.0,4/6 %66.67,4/6 %66.67,2/4 %50.0,40/106 %37.74,21/34 %61.76
Total serious adverse events,0/9 %0.0,0/9 %0.0,0/9 %0.0,0/6 %0.0,0/10 %0.0,0/6 %0.0,0/6 %0.0,0/4 %0.0,0/106 %0.0,0/34 %0.0

Adoptive Transfer of Haplo-identical DLI for AML and MDS(https://clinicaltrials.gov/show/NCT02046122)
 ,Idarubicin + Cytarabine + DLI
 ,Chemotherapy combined with adoptive transfer of HLA-haploidentical donor lymphocyte infusion (DLI)  Idarubicin: Eligible subjects will receive induction chemotherapy with idarubicin (12 mg/m2 intravenously for 3 days) and cytarabine (100 mg/m2 intravenously for 7 days) starting Day 1 and ending Day 7. Patients 80 years or older will only receive 2 and 5 days of idarubicin and cytarabine respectively starting Day 1 and ending Day 5.  Subjects who experience no remission or partial remission will receive a second course of the identical induction chemotherapy.  Cytarabine: Cytarabine (100 mg/m2 intravenously for 7 days) starting Day 1 and ending Day 7. Patients 80 years or older will only receive 2 and 5 days of idarubicin and cytarabine respectively starting Day 1 and ending Day 5.  Subjects who achieve a complete remission (CR) will receive 2 further courses of cytarabine postremission chemotherapy (consolidation) at 1.0 g/m2 for 6 dosages followed by HLA-mismatched DLI after
Total all-cause mortality,12/17 %70.59
Total serious adverse events,8/17 %47.06
Febrile neutropenia,1/17 %5.88
Atrial fibrillation,1/17 %5.88
Ileus,1/17 %5.88
Mucositis oral,1/17 %5.88
Multi-organ failure,1/17 %5.88
Hepatic failure,1/17 %5.88
Urinary tract infection,1/17 %5.88
Treatment related secondary malignancy,1/17 %5.88
Delirium,1/17 %5.88
Hypoxia,1/17 %5.88

AML Therapy With Irradiated Allogeneic Cells(https://clinicaltrials.gov/show/NCT02105116)
 ,Treatment (Combination Chemotherapy DLI)
 ,INDUCTION CHEMOTHERAPY: Patients receive fludarabine phosphate IV over 1 hour QD for 5 days and cytarabine IV over 4 hours for 5 days. G-CSF 5 mcg/kg will be started at day14 if day14 bone marrow does not have >5% leukemic blasts. Treatment may continue for 1 or 2 courses at the discretion of the treating physician.  ALLOGENEIC CELLULAR THERAPY: Patients undergo irradiated Donor Lymphocyte Infusion (DLI) of 3 x 10^8 CD3+ cells/kg at 8 weeks. Patients with stable disease may repeat irradiated DLI every 8-12 weeks in the absence of disease progression or unacceptable toxicity.  fludarabine phosphate: Given IV  cytarabine: Given IV  donor lymphocytes: Undergo infusion of donor lymphocytes  laboratory biomarker analysis: Correlative studies  G-CSF: Given IV
Total all-cause mortality,1/6 %16.67
Total serious adverse events,0/6 %0.0

Entospletinib Monotherapy and in Combination With Chemotherapy in Adults With Acute Myeloid Leukemia (AML)(https://clinicaltrials.gov/show/NCT02343939)
 ,Group A Phase 1b ENTO 200 mg + Cytarabine + Daunorubicin,Group A Phase 1b/2 ENTO 400 mg + Cytarabine + Daunorubicin,Group B Phase 1b ENTO 200 mg + Decitabine,Group B Phase 1b ENTO 400 mg + Decitabine,Group B Phase 2 ENTO 400 mg + Azacitidine (Safety Run-In),Group B Phase 2 ENTO 400 mg + Decitabine (Randomized),Group B Phase 2 ENTO 400 mg + Azacitidine (Randomized),Group C Phase 1b/2 ENTO 400 mg,Group C Phase 1b ENTO 800 mg
 ,Participants received ENTO 200 mg tablet orally every 12 hours on Days 1 to 14 (Cycle 0) (during monotherapy lead-in) followed by ENTO 200 mg tablet orally every 12 hours in combination with chemotherapy (cytarabine 100 mg/m^2 on Days 1-7 and daunorubicin 60 mg/m^2 on Days 1-3 intravenously) for up to two 14-day cycles (Cycles 1 and 2) (during induction chemotherapy).,Phase1b/2: Participants received ENTO 400 mg tablet orally every 12 hours on Days 1 to 14 (Cycle 0) (monotherapy lead-in) followed by ENTO 400 mg tablet orally every 12 hours in combination with chemotherapy (cytarabine 100 mg/m^2 on Days 1-7 and daunorubicin 60 mg/m^2 on Days 1-3 intravenously) for up to two 14-day cycles (Cycles 1 and 2) (induction chemotherapy).  Phase 2 only: Participants who achieved a CR/CRi and did not require or could not proceed to allogeneic stem cell transplantation (SCT) were offered post-remission chemotherapy (cytarabine 3 g/m^2 intravenously every 12 hours on Days 1 3 and 5 or 1 g/m^2 intravenously once daily on Days 1-5) in combination with ENTO 400 mg tablet orally every 12 hours on Days 1-28 of each 28-day cycle for at least 3 and up to 4 cycles. Participants who maintained a CR/CRi after 3 or 4 cycles were offered maintenance therapy with ENTO 400 mg tablet orally every 12 hours on Days 1-28 of each 28-day cycle for up to 12 cycles.,Participants received ENTO 200 mg tablet orally every 12 hours on Days 1-14 (Cycle 0) (during monotherapy lead-in) followed by ENTO 200 mg tablet orally every 12 hours in combination with decitabine 20 mg/m^2 intravenously on Days 1-10 of every 28-day cycle for 2 cycles (or up to 4 cycles for participants with persistent disease after Cycle 2 Day 28) (induction chemotherapy). Participants who achieved a CR/CRi received SCT (if eligible) per investigator's discretion; other participants were offered maintenance therapy with ENTO every 12 hours on Days 1-28 in combination with decitabine on Days 1-5 of every 28-day cycle for at least 2 cycles (maximum up to 12 cycles). Participants who were intolerant to decitabine were offered maintenance therapy with ENTO 200 mg as monotherapy after completing 2 maintenance cycles.,Participants received ENTO 400 mg tablet orally every 12 hours on Days 1-14 (Cycle 0) (during monotherapy lead-in) followed by ENTO 400 mg tablet orally every 12 hours in combination with decitabine 20 mg/m^2 intravenously on Days 1-10 of every 28-day cycle for 2 cycles (or up to 4 cycles for participants with persistent disease after Cycle 2 Day 28) (induction chemotherapy). Participants who achieved a CR/CRi received SCT (if eligible) per investigator's discretion; other participants were offered maintenance therapy with ENTO every 12 hours on Days 1-28 in combination with decitabine on Days 1-5 of every 28-day cycle for at least 2 cycles (maximum up to 12 cycles). Participants who were intolerant to decitabine were offered maintenance therapy with ENTO 400 mg as monotherapy after completing 2 maintenance cycles.,As part of the safety run-in participants received ENTO 400 mg tablet orally every 12 hours on Days 1-14 (Cycle 0) (during monotherapy lead-in) followed by ENTO 400 mg tablet orally every 12 hours in combination with azacitidine 75 mg/m^2 intravenously on Days 1-7 of a 28-day cycle (Cycle 1). Participants who were not eligible for SCT were offered maintenance therapy with ENTO every 12 hours on Days 1-28 in combination with azacitidine on Days 1-7 of every 28-day cycle for at least 2 cycles (maximum up to 12 cycles). Participants who were intolerant to azacitidine were offered maintenance therapy with ENTO 400 mg as monotherapy after completing 2 maintenance cycles.,Participants were randomized to receive ENTO 400 mg tablet orally every 12 hours on Days 1-5 (Cycle 0) (during monotherapy lead-in) followed by ENTO 400 mg tablet orally every 12 hours in combination with decitabine 20 mg/m^2 intravenously on Days 1-10 of every 28-day cycle for 2 cycles (or up to 4 cycles for participants with persistent disease after Cycle 2 Day 28). Participants who were not eligible for SCT were offered maintenance therapy with ENTO every 12 hours on Days 1-28 in combination with decitabine on Days 1-5 of every 28-day cycle for at least 2 cycles (maximum up to 12 cycles). Participants who were intolerant to decitabine were offered maintenance therapy with ENTO 400 mg as monotherapy after completing 2 maintenance cycles.,Participants were randomized to receive ENTO 400 mg tablet orally every 12 hours on Days 1-5 (Cycle 0) (during monotherapy lead-in) followed by ENTO 400 mg tablet orally every 12 hours in combination with azacitidine 75 mg/m^2 intravenously on Days 1-7 of every 28-day cycle for 2 cycles (or up to 4 cycles for participants with persistent disease after Cycle 2 Day 28). Participants who were not eligible for SCT were offered maintenance therapy with ENTO every 12 hours on Days 1-28 in combination with azacitidine on Days 1-7 of every 28-day cycle for at least 2 cycles (maximum up to 12 cycles). Participants who were intolerant to azacitidine were offered maintenance therapy with ENTO 400 mg as monotherapy after completing 2 maintenance cycles.,Participants received ENTO 400 mg tablet orally every 12 hours on Days 1-28 of every 28-day cycle until treatment failure start of new therapy unacceptable toxicity withdrawal of consent withdrawal from study by investigator or study termination by sponsor.,Participants received ENTO 800 mg tablet orally every 12 hours on Days 1-28 of every 28-day cycle until treatment failure start of new therapy unacceptable toxicity withdrawal of consent withdrawal from study by investigator or study termination by sponsor.
Total all-cause mortality,2/3 %66.67,21/50 %42.0,5/5 %100.0,4/6 %66.67,5/8 %62.5,12/17 %70.59,11/14 %78.57,30/35 %85.71,6/7 %85.71
Total serious adverse events,0/3 %0.0,23/50 %46.0,5/5 %100.0,5/6 %83.33,7/8 %87.5,11/17 %64.71,7/14 %50.0,19/35 %54.29,4/7 %57.14
Febrile neutropenia,0/3 %0.0,13/50 %26.0,4/5 %80.0,4/6 %66.67,3/8 %37.5,8/17 %47.06,0/14 %0.0,5/35 %14.29,0/7 %0.0
Angina pectoris,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,1/17 %5.88,0/14 %0.0,0/35 %0.0,0/7 %0.0
Atrial fibrillation,0/3 %0.0,0/50 %0.0,1/5 %20.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,0/35 %0.0,0/7 %0.0
Cardiac arrest,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,1/17 %5.88,0/14 %0.0,0/35 %0.0,0/7 %0.0
Cardiac failure chronic,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,1/14 %7.14,0/35 %0.0,0/7 %0.0
Cardiac failure congestive,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,2/35 %5.71,0/7 %0.0
Sinus bradycardia,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,1/35 %2.86,0/7 %0.0
Colitis,0/3 %0.0,0/50 %0.0,0/5 %0.0,1/6 %16.67,0/8 %0.0,0/17 %0.0,0/14 %0.0,0/35 %0.0,0/7 %0.0
Constipation,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,1/14 %7.14,0/35 %0.0,1/7 %14.29
Gastric haemorrhage,0/3 %0.0,1/50 %2.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,1/14 %7.14,0/35 %0.0,0/7 %0.0
Gastrointestinal haemorrhage,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,1/17 %5.88,0/14 %0.0,1/35 %2.86,0/7 %0.0
Haematemesis,0/3 %0.0,2/50 %4.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,1/14 %7.14,0/35 %0.0,0/7 %0.0
Haematochezia,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,1/35 %2.86,0/7 %0.0
Intestinal ischaemia,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,1/17 %5.88,0/14 %0.0,0/35 %0.0,0/7 %0.0
Large intestine perforation,0/3 %0.0,1/50 %2.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,0/35 %0.0,0/7 %0.0
Oesophagitis,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,1/35 %2.86,0/7 %0.0
Proctalgia,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,1/35 %2.86,0/7 %0.0
Stomatitis,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,1/17 %5.88,0/14 %0.0,0/35 %0.0,0/7 %0.0
Vomiting,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,1/35 %2.86,0/7 %0.0
Asthenia,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,1/8 %12.5,0/17 %0.0,0/14 %0.0,0/35 %0.0,0/7 %0.0
Catheter site haemorrhage,0/3 %0.0,1/50 %2.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,0/35 %0.0,0/7 %0.0
Non-cardiac chest pain,0/3 %0.0,1/50 %2.0,0/5 %0.0,1/6 %16.67,0/8 %0.0,0/17 %0.0,0/14 %0.0,0/35 %0.0,0/7 %0.0
Pyrexia,0/3 %0.0,1/50 %2.0,1/5 %20.0,1/6 %16.67,1/8 %12.5,0/17 %0.0,0/14 %0.0,2/35 %5.71,0/7 %0.0
Anal abscess,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,1/35 %2.86,0/7 %0.0
Bacteraemia,0/3 %0.0,1/50 %2.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,1/17 %5.88,0/14 %0.0,0/35 %0.0,0/7 %0.0
Bacterial infection,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,1/14 %7.14,0/35 %0.0,0/7 %0.0
Cellulitis,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,1/35 %2.86,0/7 %0.0
Cellulitis staphylococcal,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,1/8 %12.5,0/17 %0.0,0/14 %0.0,0/35 %0.0,0/7 %0.0
Clostridium difficile colitis,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,1/35 %2.86,0/7 %0.0
Device related infection,0/3 %0.0,1/50 %2.0,0/5 %0.0,2/6 %33.33,0/8 %0.0,0/17 %0.0,0/14 %0.0,1/35 %2.86,0/7 %0.0
Enteritis infectious,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,1/8 %12.5,0/17 %0.0,0/14 %0.0,0/35 %0.0,0/7 %0.0
Escherichia sepsis,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,1/8 %12.5,0/17 %0.0,0/14 %0.0,0/35 %0.0,0/7 %0.0
Fungal infection,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,1/17 %5.88,0/14 %0.0,1/35 %2.86,0/7 %0.0
Influenza,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,1/35 %2.86,0/7 %0.0
Lung infection,0/3 %0.0,0/50 %0.0,2/5 %40.0,1/6 %16.67,0/8 %0.0,0/17 %0.0,0/14 %0.0,0/35 %0.0,2/7 %28.57
Mucosal infection,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,1/35 %2.86,0/7 %0.0
Otitis media,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,1/35 %2.86,0/7 %0.0
Pneumonia,0/3 %0.0,2/50 %4.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,2/17 %11.76,2/14 %14.29,2/35 %5.71,0/7 %0.0
Sepsis,0/3 %0.0,2/50 %4.0,1/5 %20.0,0/6 %0.0,2/8 %25.0,1/17 %5.88,0/14 %0.0,0/35 %0.0,0/7 %0.0
Staphylococcal infection,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,1/14 %7.14,0/35 %0.0,0/7 %0.0
Staphylococcal sepsis,0/3 %0.0,1/50 %2.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,0/35 %0.0,0/7 %0.0
Urinary tract infection,0/3 %0.0,1/50 %2.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,0/35 %0.0,0/7 %0.0
Vascular device infection,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,1/14 %7.14,0/35 %0.0,0/7 %0.0
Fall,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,1/17 %5.88,0/14 %0.0,0/35 %0.0,1/7 %14.29
Blood alkaline phosphatase increased,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,1/35 %2.86,0/7 %0.0
Transaminases increased,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,1/8 %12.5,0/17 %0.0,0/14 %0.0,0/35 %0.0,0/7 %0.0
Troponin I increased,0/3 %0.0,0/50 %0.0,1/5 %20.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,0/35 %0.0,0/7 %0.0
Dehydration,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,1/35 %2.86,1/7 %14.29
Gout,0/3 %0.0,1/50 %2.0,0/5 %0.0,0/6 %0.0,0/8 %0.0,0/17 %0.0,0/14 %0.0,0/35 %0.0,0/7 %0.0
Hyponatraemia,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,1/8 %12.5,0/17 %0.0,0/14 %0.0,0/35 %0.0,0/7 %0.0
Tumour lysis syndrome,0/3 %0.0,0/50 %0.0,0/5 %0.0,0/6 %0.0,1/8 %12.5,0/17 %0.0,0/14 %0.0,1/35 %2.86,0/7 %0.0
